Date,Topic,Drive Link,,Description
,,Digital Notes,Handwritten Notes,
07/06/2025,Time Complexity,https://drive.google.com/file/d/1u1MjsCz6mPjx_Dmu7zkJlNg0AZPWRWZb/view?usp=sharing,https://drive.google.com/file/d/1h3a-YMcwn8sRAtCw7Xc5K2yQCmHd8pZX/view?usp=sharing,"Definition of Time complexity, Brief intro to big O, Examples of calculating time complexity, how to 
optimize t.c. using given constraints."
08/06/2025,C++ For Problem Solving,https://drive.google.com/file/d/1GaCr7KBQogewtZ9fBbgYdgc-gmc473Tc/view?usp=sharing,https://drive.google.com/file/d/1XyPHDav6tgzLOkEVDOZ3LufDyvFASMLf/view?usp=sharing,"Basic structure of program, passing value in functions: pass by value, pass by reference, pass by pointer, 
scope: local and functional, Dynamic memory allocation"
14/06/2025,C++ Drill Session,https://drive.google.com/file/d/1_3sWDq_EPKfR3-iPVLkfrUXXeIrQLlox/view?usp=sharing,https://drive.google.com/file/d/1gwNl3496P7vrnVB4AcktggCuTNvXmN0e/view?usp=sharing,"Implementation of 5 different problems- AcCepted(abc104_b at atcoder), Minesweeper (abc075_b) , 
Valid Sudoku(problem-040 codeforces), Rotate Image (Leetcode), Template matching (abc054_b)"
15/06/2025,Modulo Arithmetic Foundation,https://drive.google.com/file/d/1tmPlBu42oEJqlfVi7aXC2cB51V_vCLks/view?usp=sharing,https://drive.google.com/file/d/1glLeUifgDXAKBYS4k7gI9uOwuUTugjW5/view?usp=sharing,"Intro to modulo, Evaluating expressions using modulo, Fast exponentiation algorithm, Division in modulo 
arithmetic, Fermat's little Theorem to calculate inverses, summary"
28/06/2025,Contribution Technique,https://drive.google.com/file/d/11A4HLeNyGe08Bc_QLsXKp2p79_8NbqXd/view?usp=sharing,https://drive.google.com/file/d/1dIo9gD0oTgZ0Pnoqu-T-uebZUC4gSVYA/view?usp=sharing,"1. sum total(sum of each subarray): O(N^2) and O(N) solution. Contribution techniques types. 
2. no of inversions of a given array
3. sum (product of every subarray) 
4. max sum subarray"
05/07/2025,STL - 1,https://drive.google.com/file/d/1IiqCW5zsGEFp506uOOT0e-vJBzRtTl-j/view?usp=sharing,https://drive.google.com/file/d/1QhKBajzlH5Lw5g0TfrzT5C7nMauQACKT/view?usp=sharing,"Vectors: Declaration, Insertion at an index, deletion, removing an element, finding elements, 
search operations"
06/07/2025,STL - 2,https://drive.google.com/file/d/1pNs0b4XSe9ft96secRxHgonOCdpjK71_/view?usp=sharing,https://drive.google.com/file/d/1Tk_uO_MPVyV3CvpH60F98gxsSMLttR3u/view?usp=sharing,"Sets : Insertion, reverse iterators, search of element, deletion, Unordered set, Maps : declaration, 
search, insertion, deletion, use of lowerbound, unordered maps, multiset"
06/07/2025,Doubt Session,https://drive.google.com/file/d/1OMdH3n1ZdBA-dr0pR9EFXTxtzPAF3ATb/view?usp=sharing,https://drive.google.com/file/d/1EpuYFyBecVHHg9SiODcVadZW0e7P92ET/view?usp=sharing,"Power of Two, Two intervals, GCD, Lucky Numbers, Sum of odd numbers b/w x and y, O(1) soln, 
Three numbers, O(k) solution, Number Pyramid pattern"
12/07/2025,STL Application Idea,https://drive.google.com/file/d/1y8WxIM8FFjqPThIebxNuLnFlcVlnIurW/view?usp=sharing,https://drive.google.com/file/d/1MYA_y4hJ3DWbTUZ_ASthcdkQK1DkXN6Q/view?usp=sharing,"LR insertion, String Formation, Okabe and boxes Idea, Swappable, Homework problems: 
snuke's coloring, smart infants"
16/07/2025,Classical Greedy Problems,https://drive.google.com/file/d/10mbp4MNVVoWxX-LZ8jPcRlmU25e6HcKR/view?usp=sharing,https://drive.google.com/file/d/1yGdU2p6SOSe-KmwSMHtsiJF7uDMF53YS/view?usp=sharing,"Greedy technique, Problems: make total sum, Non overlapping intervals, Fractional Knapsack 
Problem, Nested Ranges Check"
